Municipality;Address;Building;Year_of_listing;Year_of_construction;Period;Description;Full_address;Latitude;Longitude
Esbjerg;Klostergade 26;Klostergade 26, Ribe;1964;1761;Classicism;Forhuset (del af bygning fra før 1761, gadesiden grundmuret 1815). Fredet 1964.*;Klostergade 26, Esbjerg, Danmark;55,3267470;8,7645490
Esbjerg;Korsbrødregade 5;Korsbrødregade 5, Ribe;1964;1841;Classicism;Forhuset (1841). Fredet 1964.*;Korsbrødregade 5, Esbjerg, Danmark;55,3284600;8,7590810
Esbjerg;Korsbrødregade 7;Korsbrødregården, Bispegården i Ribe;1919;1801;Classicism;Forhuset (1801) og den hermed sammebyggede sidelænge. Fredet 1919.;Korsbrødregade 7, Esbjerg, Danmark;55,3292240;8,7590040
Esbjerg;Lustrupvej 4;Lustrupholm;1945;1770;Classicism;Hovedbygningen (ca. 1770) og den hermed sammenbyggede længe. Fredet 1945.*;Lustrupvej 4, Esbjerg, Danmark;55,3106780;8,7682180
Esbjerg;Mandø Byvej 15;Mandø Byvej 15;1996;1838;Classicism;Længehuset (1838). Fredet 1996.;Mandø Byvej 15, Esbjerg, Danmark;55,2754450;8,5362950
Esbjerg;Mandø Byvej 35;Mandø Mølle;2009;1830;Classicism;Mandø Mølle (1830'erne). Fredet 2009.;Mandø Byvej 35, Esbjerg, Danmark;55,2782200;8,5375040
Esbjerg;Mandø Byvej 5;Mandøhuset;1992;1800;Classicism;Museumsbygning (ca. 1800). Fredet 1992. *;Mandø Byvej 5, Esbjerg, Danmark;55,2740550;8,5374430
Esbjerg;Nederdammen 24 og 24 B;Midtmøllen, Ribe;1964;1828;Classicism;Forhuset (1828, ombygget 1949) og baghuset (ca. 1830). Fredet 1964.*;Nederdammen 24 og 24 B, Esbjerg, Danmark;;
Esbjerg;Nederdammen 28;Nederdammen 28, Ribe;1918;1815;Classicism;Det fem fag dybe bindingsværksgavlhus og det med dette sammenbyggede porthus (ca. 1650-75) samt den 10 fag lange sidelænge i gården (1815). Fredet 1918.*;Nederdammen 28, Esbjerg, Danmark;55,3295130;8,7652660
Esbjerg;Nederdammen 35-37;Nederdammen 35-37, Ribe;1919;1783;Classicism;Det fire fag lange bindingsværksforhus (1783) og det hermed sammenbyggede 11 fag lange sidehus i gården (1797). Fredet 1919.*;Nederdammen 35-37, Esbjerg, Danmark;55,3298773;8,7662864
Esbjerg;Overdammen 12;Toldboden, Ribe;1954;1831;Classicism;Forhus med sidebygning (1831 af Jørgen Hansen Koch) samt baghus. Fredet 1954.*;Overdammen 12, Esbjerg, Danmark;55,3289130;8,7634760
Esbjerg;Præstegade 13;Præstegade 13, Ribe;1964;1835;Classicism;Forhuset (1835). Fredet 1964.;Præstegade 13, Esbjerg, Danmark;55,3082700;8,7069350
Esbjerg;Præstegade 28-30 og Korsbrødregade 28;Præstegade 28-30 og Korsbrødregade 28, Ribe;1919;1837;Classicism;Forhusene mod Præstegade og Korsbrødregade (ældre gård ombygget 1837-1846). Fredet 1919.*;Præstegade 28-30 og Korsbrødregade 28, Esbjerg, Danmark;;
Esbjerg;Præstegade 4;Præstegade 4, Ribe;1964;1761;Classicism;Forhuset (før 1761, grundmuret 1854 og forhøjet 1857). Fredet 1964.*;Præstegade 4, Esbjerg, Danmark;55,3286310;8,7608400
Esbjerg;Puggaardsgade 26, hj;af Gravsgade;1919;1779;Classicism;Puggaardsgade 26, Ribe. Forhuset (1779 og 1786, grundmuret 1857 og senere). Fredet 1919.*;Puggaardsgade 26, hj, Esbjerg, Danmark;;
Esbjerg;Puggaardsgade 7;Stiftamtmandsboligen i Ribe;1919;1797;Classicism;Forhuset (den søndre del 1797, den midterste del 1855, den nordre del 1860-70) og muren langs gaderne. Fredet 1919.*;Puggaardsgade 7, Esbjerg, Danmark;55,3267120;8,7617240
Esbjerg;Skibbroen 11 og Smalleslippe 7;Skibbroen 11 og Smalleslippe 7, Ribe;1964;1780;Classicism;"Det søndre forhus mod Skibbroen (1780, grundmuret og forhøjet 1847) med sidebygningen langs Smalleslippe (1780, forlænget, forhøjet og grundmuret 1860-70), samt det nordre forhus mod Skibbroen kaldet ""Sælhunden"" (ældre bygning, grundmuret og forhøjet 1809) med den korte sidebygning mod Skomagerslippe (1811, forhøjet 1849). Fredet 1964.*";Skibbroen 11 og Smalleslippe 7, Esbjerg, Danmark;;
Esbjerg;Skibbroen 13;Skibbroen 13, Ribe;1919;1781;Classicism;Seks fag dybt gavlhus af bindingsværk (opr. otte fag, ca. 1600) med toetages grundmuret karnap mod Skibbroen (1781) og det hermed sammenbyggede firefags bindingsværkslanghus mod Skibbroen (ca. 1650), delvis ombygget til grundmur (1781). F. 1919.*;Skibbroen 13, Esbjerg, Danmark;55,3295910;8,7621620
Esbjerg;Skibbroen 21;Skibbroen 21, Ribe;1964;1796;Classicism;Forhuset (1796, delvis grundmuret 1855) med sidelængen langs Bredeslippe (1855). Fredet 1964.*;Skibbroen 21, Esbjerg, Danmark;55,3298990;8,7616570
Esbjerg;Skolegade 1 C;Skolegade 1 C, Ribe;1919;1837;Classicism;Forhuset (1837, gavlkvist 1840, dørhammer fra 1529). Fredet 1919.*;Skolegade 1 C, Esbjerg, Danmark;55,3278270;8,7606450
Esbjerg;Sønderportsgade 15;Sønderportsgade 15, Ribe;1964;1803;Classicism;Forhuset (1803, gavlen grundmuret ca. 1850-60). Fredet 1964.*;Sønderportsgade 15, Esbjerg, Danmark;55,3273040;8,7614090
Esbjerg;Sønderportsgade 21 B;Sønderportsgade 21 B, Ribe;1918;1770;Classicism;Det seks fag lange bindingsværksforhus (kort før 1600) med udbygningen (ca. 1810) mod gården samt det sammenbyggede, firefags bindingsværksforhus (1770) mod øst. Fredet 1918. Udvidet 1954.;Sønderportsgade 21 B, Esbjerg, Danmark;55,3271710;8,7609320
Esbjerg;Sønderportsgade 3;Sønderportsgade 3, Ribe;1919;1847;Classicism;Forhuset med den ældre del af sidelængen mod Bispegade (1847). Fredet 1919.*;Sønderportsgade 3, Esbjerg, Danmark;55,3275350;8,7625390
Esbjerg;Sønderportsgade 39;Sønderportsgade 39, Ribe;1964;1761;Classicism;Forhuset (før 1761, gadesiden grundmuret ca. 1860-70). Fredet 1964.*;Sønderportsgade 39, Esbjerg, Danmark;55,3271880;8,7593700
Esbjerg;Torvet 16;Tidl;1964;1840;Classicism;sprøjtehus i Ribe. Forhuset, tidl. sprøjtehus (1840, delvis ombygget 1925). Fredet 1964.;Torvet 16, Esbjerg, Danmark;55,4664270;8,4516140
Esbjerg;Ølufvad Hovedvej 85;Ølufvad Kro;1979;1800;Classicism;Krobygningens to længer (beg. af 1800-tallet). Fredet 1979.*;Ølufvad Hovedvej 85, Esbjerg, Danmark;55,5622510;8,5543550
Esbjerg;Bispegade 13;Bispegade 13, Ribe;1964;1853;Historicism;Forhuset (1853). Fredet 1964.*;Bispegade 13, Esbjerg, Danmark;55,3266630;8,7627040
Esbjerg;Bispegade 15;Bispegade 15, Ribe;1964;1852;Historicism;Forhuset (1852). Fredet 1964.*;Bispegade 15, Esbjerg, Danmark;55,3266170;8,7626830
Esbjerg;Bispegade 17;Bispegade 17, Ribe;1964;1852;Historicism;Forhuset (1852). Fredet 1964.*;Bispegade 17, Esbjerg, Danmark;55,3265640;8,7626570
Esbjerg;Bispegade 19;Bispegade 19, Ribe;1964;1852;Historicism;Forhuset (1852). Fredet 1964.*;Bispegade 19, Esbjerg, Danmark;55,3264850;8,7626260
Esbjerg;Bispegade 21;Bispegade 21, Ribe;1964;1853;Historicism;Forhuset (1853). Fredet 1964.;Bispegade 21, Esbjerg, Danmark;55,3264190;8,7625930
Esbjerg;Bispegade 23;Bispegade 23, Ribe;1964;1854;Historicism;Forhuset (1854). Fredet 1964.*;Bispegade 23, Esbjerg, Danmark;55,3263270;8,7625580
Esbjerg;Bispegade 6;Sankt Catharinæ Præstegård, Ribe;1964;1854;Historicism;Det nordlige toetages forhus, det sydlige enetages forhus, samt muren, der er sammenbygget med sidstnævnte (1854). Fredet 1964.*;Bispegade 6, Esbjerg, Danmark;55,3272100;8,7624670
Esbjerg;Dagmarsgade 16;Ribe Station;1993;1874;Historicism;Hovedbygningen og pakhuset nord herfor (1874 og 1875 af N.P. Holsøe). Fredet 1993.*;Dagmarsgade 16, Esbjerg, Danmark;55,3276030;8,7700600
Esbjerg;Fiskergade 7-9;Fiskergade 7-9, Ribe;1964;1860;Historicism;De to forhuse (ca. 1860). Fredet 1964. Nr. 7*;Fiskergade 7-9, Esbjerg, Danmark;55,3294090;8,7620279
Esbjerg;Fyrparken 9;Sædding Strand Mellemfyr;2002;1873;Historicism;Sædding Strand Mellemfyr (1873). Fredet 2002.;Fyrparken 9, Esbjerg, Danmark;55,4990540;8,4058840
Esbjerg;Guldager Stationsvej 101;Guldager Station;1992;1874;Historicism;Hovedbygningen, pakhuset, toiletbygningen, signalhuset og stakitter og skure herimellem (1874 af Thomas Arboe). Fredet 1992.;Guldager Stationsvej 101, Esbjerg, Danmark;55,5360240;8,4401460
Esbjerg;Havnegade 22;Esbjerg Vandtårn;1983;1897;Historicism;Det tidl. vandtårn (1897 af C.H. Clausen). Fredet 1983.;Havnegade 22, Esbjerg, Danmark;55,4644800;8,4499460
Esbjerg;Jernbanegade 31;Esbjerg Station;1983;1904;Historicism;Jernbanestationens hovedbygning (1904 af Heinrich Wenck). Fredet 1983.;Jernbanegade 31, Esbjerg, Danmark;55,4678340;8,4581290
Esbjerg;Kirkegade 25, Skolegade 47;Missionshuset Bethania, tidl.;1983;1906;Historicism;Gavlbygningen mod Kirkegade (1906 af C.H. Clausen) og den hermed sammenbyggede gavlbygning mod Skolegade (ca. 1890). Fredet 1983.*;Kirkegade 25, Skolegade 47, Esbjerg, Danmark;;
Esbjerg;Korsbrødregade 11;Korsbrødregade 11, Ribe;1964;1854;Historicism;Forhuset (1854). Fredet 1964.*;Korsbrødregade 11, Esbjerg, Danmark;55,3296370;8,7591680
Esbjerg;Mellemdammen 16;Mellemdammen 16, Ribe;1918;1854;Historicism;Forhuset (1854) med det heri indbyggede ni fag dybe bindingsværksgavlhus (ca. 1580-90) og den med dettes baggavl sammenbyggede, noget smallere, 12 fag lange bindingsværksbygning (ca. 1610-20) samt tværhuset og gårdpladsens brolægning. Fredet 1918. Udvidet 1983.*;Mellemdammen 16, Esbjerg, Danmark;55,3290990;8,7640210
Esbjerg;Mellemdammen 22;Ribe tidl;1991;1904;Historicism;Elektricitetsværk. Elektricitetsværksbygningen (1904, ombygget 1924 af Axel Hansen). Fredet 1991.*;Mellemdammen 22, Esbjerg, Danmark;55,3292280;8,7646370
Esbjerg;Nygårdsvej 65;Nygårdsvej 65;1993;1908;Historicism;Villaen (1908 af C.H. Clausen) med smedejernsrækværk og terrassefliser. Fredet 1993.*;Nygårdsvej 65, Esbjerg, Danmark;55,4706770;8,4514270
Esbjerg;Puggaardsgade 22;Puggaard og Kathedralskolen, Ribe;1918;1856;Historicism;Den grundmurede bygning i en og to etager (ca. 1500) samt Kathedralskolen, den ældste trefløjede skolebygning (1856 af Ferdinand Thielemann, sidefløjene forhøjet 1887-88).Fredet 1918. Udvidet 1964.;Puggaardsgade 22, Esbjerg, Danmark;55,3264110;8,7604420
Esbjerg;Sankt Nicolajgade 10 A og B;Ribe Kunstmuseum;1977;1864;Historicism;Forhuset (1864 af L.A. Winstrup), havepavillonen og muren mellem de to bygninger. Fredet 1977.*;Sankt Nicolajgade 10 A og B, Esbjerg, Danmark;;
Esbjerg;Skibbroen 29;Aldershvile, Ribe;1978;1852;Historicism;Forhuset (1852 formentlig af N.S. Nebelong, trappehus 1858) samt udhus og hegnsmur mod Skibbroen og Fiskergade. Fredet 1978.*;Skibbroen 29, Esbjerg, Danmark;55,3302400;8,7608390
Esbjerg;Skibbroen 5;Skibbroen 5, Ribe;1964;1850;Historicism;Forhuset mod Skibbroen med muren hen til mnr. 452c (1850). Fredet 1964.*;Skibbroen 5, Esbjerg, Danmark;55,3293220;8,7625860
Esbjerg;Skolegade 33;Esbjerg ting- og arresthus (tidl.);1983;1892;Historicism;Det tidl. ting- og arresthus (1892 af Hans Christian Amberg). Fredet 1983. *;Skolegade 33, Esbjerg, Danmark;55,4668960;8,4525470
Esbjerg;Skolevej 43;Tjæreborg Graverbolig;1980;1850;Historicism;Stuehuset (ca. 1850). Fredet 1980.;Skolevej 43, Esbjerg, Danmark;55,4622930;8,5843150
Esbjerg;Sneum Kirkevej 20;Sneum Kirkes tidl;1992;1850;Historicism;graverbolig. Den tidl. graverbolig med kapel (ca. 1850). Fredet 1992.;Sneum Kirkevej 20, Esbjerg, Danmark;55,4587790;8,6401510
Esbjerg;Solbjergvej 25;Solbjergvej 25;1992;1856;Historicism;Den firelængede gård (1856) og den brolagte gårdsplads. Fredet 1992.;Solbjergvej 25, Esbjerg, Danmark;55,5015330;8,5617900
Esbjerg;Strandvej 2;Mandø Redningsstation;1995;1912;Historicism;Redningsstationen (1912). Fredet 1995.;Strandvej 2, Esbjerg, Danmark;55,2741200;8,5349790
Esbjerg;Sønder Farupvej 46;Faruplund;1992;1850;Historicism;Det vinkelformede bygningsanlæg bestående af en mod syd beliggende længe med en vinkelbygning mod nord (ca. 1850). Fredet 1992.*;Sønder Farupvej 46, Esbjerg, Danmark;;
Esbjerg;Sønderportsgade 20;Sønderportsgade 20, Ribe;1982;1872;Historicism;Forhuset (1872). Fredet 1982.*;Sønderportsgade 20, Esbjerg, Danmark;55,3273170;8,7589860
Esbjerg;Sønderportsgade 21C (tidl;nr;1918;1850;Historicism;21A). Sønderportsgade 21C, Ribe. Gavlhuset, omfattende grundmurede del mod gaden (senmiddelalder, gadegavl ca. 1850) og den otte fag dybe bindingsværksbygning (opr. på 17 fag, ca. 1660, afkortet ca. 1810). Fredet 1918. Udvidet 1954.;Sønderportsgade 21C (tidl, Esbjerg, Danmark;;
Esbjerg;Toldbodvej 1;Esbjerg Gamle Toldkammerbygning;1984;1896;Historicism;Toldkammerbygningen (1896-97 af Vilhelm Petersen). Fredet 1984.*;Toldbodvej 1, Esbjerg, Danmark;55,4640950;8,4459400
Esbjerg;Torvet 20;Esbjerg Posthus;1983;1908;Historicism;Posthusbygningen (1908 af Ulrik Plesner). Fredet 1983.;Torvet 20, Esbjerg, Danmark;55,4667120;8,4517000
Esbjerg;Von Støckens Plads 1, hj;af Stenbogade;1918;1892;Historicism;Ribe gamle Rådhus. Hovedfløjen (to middelalderlige stenhuse, ombygget til nuværende skikkelse 1528), sidefløj, trappetårn og lille forbindelsesbygning (1892-94 af H.C. Amberg). Fredet 1918.* Udvidet 2019;Von Støckens Plads 1, hj, Esbjerg, Danmark;;
Esbjerg;Østergade 4;Østergade 4;1983;1899;Historicism;Forhuset (1899 af C.H. Clausen). Fredet 1983.;Østergade 4, Esbjerg, Danmark;55,4660000;8,4561260
Esbjerg;Farup Kirkevej 6;Farup Præstegård;1981;1712;Baroque and rococo;Stuehuset (1712) og nordlængen. Fredet 1981.;Farup Kirkevej 6, Esbjerg, Danmark;55,3595950;8,7406940
Esbjerg;Feilbergvej 15;Darum Præstegård;1992;1720;Baroque and rococo;Stuehuset (1720). Fredet 1992.;Feilbergvej 15, Esbjerg, Danmark;55,4259790;8,6475900
Esbjerg;Grønnegade 21;Grønnegade 21, Ribe;1919;1650;Baroque and rococo;Det fem fag dybe bindingsværksgavlhus (ca. 1650) og den hermed sammenbyggede fem fag lange bindingsværksgadelænge (formentlig 1666, senere delvis grundmuret). Fredet 1919.*;Grønnegade 21, Esbjerg, Danmark;55,3293850;8,7607480
Esbjerg;Hjortlundvej 116;Søvanggård;1992;1700;Baroque and rococo;Det firelængede gårdanlæg (beg. af 1700-tallet). Fredet 1992.*;Hjortlundvej 116, Esbjerg, Danmark;55,3997900;8,8338570
Esbjerg;Kjærgårdsvej 31;Kjærgård;1918;1695;Baroque and rococo;Den trefløjede hovedbygning (1695) med omgivende grave. Fredet 1918.*;Kjærgårdsvej 31, Esbjerg, Danmark;55,4218410;8,7128110
Esbjerg;Klostergade 4;Almisseboderne, Ribe;1964;1716;Baroque and rococo;Forhuset, del af Almisseboderne (1716, ombygget og grundmuret 1817). Fredet 1964.*;Klostergade 4, Esbjerg, Danmark;55,3273760;8,7641570
Esbjerg;Klostergade 6;Almisseboderne, Ribe;1964;1716;Baroque and rococo;Forhuset, del af Almisseboderne (1716, ombygget og grundmuret 1817). Fredet 1964.*;Klostergade 6, Esbjerg, Danmark;55,3273130;8,7642260
Esbjerg;Skolegade 1A, hj;af Grydergade;1918;1724;Baroque and rococo;Den gamle Domskole, Ribe. Forhuset mod Torvet (1724) og den hermed sammenbyggede fløj langs Grydergade (1586) samt bygningen i gården med muren mod mnr. 340 (udgør resterne af en længe fra middelalder og fra 1586, som har været sammenbygget med fløjen langs Grydergade). Fredet 1918.*;Skolegade 1A, hj, Esbjerg, Danmark;;
Esbjerg;Sortebrødregade 1-3 og Overdammen 10;Quedens Gård, Ribe;1919;1681;Baroque and rococo;Det 16 fag dybe bindingsværksgavlhus på hjørnet af Sortebrødregade (mellem 1580 og 1583) med den op til dettes baggavl liggende portlænge (1681, delvis grundmuret 1857) samt det med gavlhusets forreste del sammenbyggede forhus mod Overdammen (1789). Fredet 1919. Den østre sidelænge i gården (opført kort før 1789 som erstatning for et 13 fag dybt gavlhus fra 1580-83, hvis hvælvede kældre stadig er bevarede. Baggavl og gårdside grundmuret 1854 og 1857, længen forhøjet 1865) samt stald- og vognportlængen mod syd (1790). Fredet 1918.*;Sortebrødregade 1-3 og Overdammen 10, Esbjerg, Danmark;;
Esbjerg;Sønderportsgade 37;Sønderportsgade 37, Ribe;1918;1650;Baroque and rococo;Det seks fag dybe bindingsværksgavlhus (ca. 1650-75) og kælderen (middelalder og renæssance) under den op til gavlhusets baggavl beliggende nyere bygning (ca. 1860-70), endvidere det med gavlhusets østside sammenbyggede femfags hjørnehus (ca. 1690) og den hermed sammenbyggede bindingsværkslænge mod Sviegade (ca. 1700, forhøjet 1783). Fredet 1918. *;Sønderportsgade 37, Esbjerg, Danmark;55,3271630;8,7595760
Esbjerg;Søndre Kirkevej 20;Vestervedsted Præstegård;1959;1738;Baroque and rococo;Stuehuset og udlængen (1738). Fredet 1959.*;Søndre Kirkevej 20, Esbjerg, Danmark;;
Esbjerg;Østerbyvej 13;Østerbyvej 13;1987;1700;Baroque and rococo;Det vinkelformede bygningsanlæg bestående af stuehus og staldlænge (anden halvdel af 1700-tallet). Fredet 1987.*;Østerbyvej 13, Esbjerg, Danmark;55,4602810;8,5867890
Faaborg-Midtfyn;Arreskovvej 12;Arreskov;1918;1558;Renaissance;Den firefløjede hovedbygning (1558-73 muligvis af Domenicus Badiaz, stærkt ombygget 1872-73 af H.A.W. Haugsted). Fredet 1918.;Arreskovvej 12, Faaborg-Midtfyn, Danmark;55,1644420;10,3148950
Faaborg-Midtfyn;Egeskov Gade 26;Egeskov;1918;1554;Renaissance;Hovedbygningen (1554). Fredet 1918.*;Egeskov Gade 26, Faaborg-Midtfyn, Danmark;55,1760550;10,4901450
Faaborg-Midtfyn;Grønnegade 32;Grønnegade 32;1991;1600;Renaissance;Bindingsværkshuset (slutn. af 1600-tallet). Fredet 1991.*;Grønnegade 32, Faaborg-Midtfyn, Danmark;55,0958180;10,2435000
Faaborg-Midtfyn;Hvedholm Slot 1;Hvedholm, Hovedbygningen;1994;1588;Renaissance;Den trefløjede hovedbygning (1588, ombygget i 1878-83 af Johan Schrøder) samt det vestfor liggende rødmalede træbeklædte gartnerhus (ca. 1800). Fredet 1994.*;Hvedholm Slot 1, Faaborg-Midtfyn, Danmark;55,1054260;10,1913970
Faaborg-Midtfyn;Hvedholms Allé 9;Hvedholm, Avlsgården;1918;1637;Renaissance;Horneporten og den på samme vestside liggende kampestensbygning samt den mod gårdspladsen vendte østmur af den gamle kostald (1637 og 1799), endvidere Pantemplet i parken (ca. 1800). Fredet 1918.;Hvedholms Allé 9, Faaborg-Midtfyn, Danmark;55,1065740;10,1920340
Faaborg-Midtfyn;Krumstrupvej 10;Krumstrup;1945;1600;Renaissance;Den trefløjede hovedbygning med mure foran gårdspladsen (slutn. af 1600-tallet, ombygget 1715 og senere, indgangstårnet ca. 1920). Fredet 1945.*;Krumstrupvej 10, Faaborg-Midtfyn, Danmark;55,2200360;10,5225330
Faaborg-Midtfyn;Slotsalléen 8;Holstenshuus;1990;1643;Renaissance;Den trefløjede hovedbygning (1643, ombygget 1863, 1889 og genopført efter brand 1908). Fredet 1990.;Slotsalléen 8, Faaborg-Midtfyn, Danmark;55,1032250;10,3102390
Faaborg-Midtfyn;Sundsgårdsvej 4-10;Fjellebro Hovedgård;1918;1600;Renaissance;Den trefløjede hovedbygning (1600-tallet, ombygget 1726) og herskabsstalden (1622, forlænget efter 1772 og nyindrettet 1912). Fredet 1918. Udvidet 1996.*;Sundsgårdsvej 4-10, Faaborg-Midtfyn, Danmark;55,1707653;10,4682251
Faaborg-Midtfyn;Søvej 27;Søbysøgård;1918;1641;Renaissance;Den trefløjede hovedbygning (midtfløjen 1641, østfløjen ca. 1710, vestfløjen 1768). Fredet 1918.*;Søvej 27, Faaborg-Midtfyn, Danmark;55,2898650;10,3670050
Faaborg-Midtfyn;Østergyden 3;Nakkebølle;1918;1559;Renaissance;Hovedbygningen (1559). Fredet 1918.*;Østergyden 3, Faaborg-Midtfyn, Danmark;55,0810750;10,3525160
Faaborg-Midtfyn;Grubbemøllegyden 2;Grubbe Vandmølle;1998;1947;Modernism;Vandmøllen og sammenbygget hermed stuehuset (ca. 1750, ombygget sidst i 1800-tallet), folkerums-/garagebygning og kostalden (begge 1932) samt den fritliggende tidligere svinestald, den fritliggende tidligere hestestald og havehuset (alle ca. 1750), stemmeværket med tilhørende stigbord, den støbte malekarm to turbinen, vejdæmningen med brofæster (ca. 1900), bro (1947) med rækværk samt den nærtstående granitvejsten, malerenden/bagvandet med tilhørende ca. 200 meter stensatte bredder og to støbte broer (ca. 1900) med støbejernsrækværk, mølledammen, markstensbelægningen på gårdsplads og foran stuehus og avlsbygninger samt stenmurene (ca. 1900) på begge siden af vejen mellem møllegård og mølledam. Fredet 1998. Udvidet 2011*;Grubbemøllegyden 2, Faaborg-Midtfyn, Danmark;55,1202950;10,2116500
Faaborg-Midtfyn;Præstegårdsgyden 6;Horne Præstegård;1945;1500;Medieval;Kampestenshouse (ca. 1500). Fredet 1945.*;Præstegårdsgyden 6, Faaborg-Midtfyn, Danmark;55,1065450;10,1656750
Faaborg-Midtfyn;Reventlowsvej 1 og 1 C, G;Brahetrolleborg;1918;1300;Medieval;"Den trefløjede hovedbygning (1300-1400-tallet; vestfløj 1498 og udbygget 1568 af Henrik Rantzau; østfløj forhøjet 1620 af Kaj Rantzau)*, Kai Lykkes trelængede ladegård (1655, ombygget efter brand 1900)*, ridebanen med lindetræer i græsbevokset oval, fiskedammene mellem hovedbygningen og ladegården og langs landevejen, bindingsværkslængen mellem ladegården og landevejen og hollænderiets hovedbygning (ca. 1780 og senere).Fredet 1918. Fredningen udvidet 1984.";Reventlowsvej 1 og 1 C, G, Faaborg-Midtfyn, Danmark;;
Faaborg-Midtfyn;Rishøjvej 2;Sandholt;1918;middelalder;Medieval;"Den firefløjede hovedbygning (middelalder, 1590'erne, ombygget 1788; nord- og vestfløj 1791).  Fredet 1918.*";Rishøjvej 2, Faaborg-Midtfyn, Danmark;55,1928200;10,2764180
Faaborg-Midtfyn;Tårnstræde 2;Klokketårnet;1918;1450;Medieval;Tårnet (ca. 1450-1500, spiret 1778). Fredet 1918.;Tårnstræde 2, Faaborg-Midtfyn, Danmark;55,0946670;10,2435970
Faaborg-Midtfyn;Vestergade 5;Vesterport;1918;1400;Medieval;Vesterport, Byporten (1400-tallet, istandsat 1770, ændret 1879 og istandsat 1917). Fredet 1918.;Vestergade 5, Faaborg-Midtfyn, Danmark;55,0966560;10,2402440
Faaborg-Midtfyn;Østrup 38, 48, 50 og 60;Østrupgård;1918;1500;Medieval;"Den trefløjede hovedbygning (det grundmurede hus fra 1500-tallets begyndelse, stærkt ombygget 1572; sydlige bindingsværkslænge 1710) med voldsted og omgivende grave, alle avlsgårdens længer omkring den store gårdsplads samt smedjen og Schæferhuset. Fredet 1918.*";Østrup 38, 48, 50 og 60, Faaborg-Midtfyn, Danmark;;
Faaborg-Midtfyn;Adelgade 7;Adelgade 7;1945;1761;Classicism;Forhuset (før 1761). Fredet 1945.*;Adelgade 7, Faaborg-Midtfyn, Danmark;55,0946430;10,2430260
Faaborg-Midtfyn;Arreskovvej 27;Arreskov Vandmølle;1990;1750;Classicism;Det trelængede sammenbyggede mølleanlæg (ca. 1750, ombygget i midten af 1800-tallet) bestående af en sammenbygget stuehus- og møllelænge med udbygninger over møllestrømmen, motorhuset for enden heraf, en sydlig portlænge, en vestlænge samt den brolagte gårdsplads. Fredet 1990.;Arreskovvej 27, Faaborg-Midtfyn, Danmark;55,1634500;10,3220090
Faaborg-Midtfyn;Birkevej 17;Vester Hæsinge gamle Skole;1989;1800;Classicism;Den tidl. skolebygning samt det lille sandhus (slutn. af 1800-tallet). Fredet 1989.;Birkevej 17, Faaborg-Midtfyn, Danmark;55,1930780;10,2468620
Faaborg-Midtfyn;Brændegårdsvej 3 A;Vægterhuset;1987;1825;Classicism;Stuehuset (ca. 1825-50). Fredet 1987.;Brændegårdsvej 3 A, Faaborg-Midtfyn, Danmark;55,1427310;10,3700380
Faaborg-Midtfyn;Bystævnevej 4;Søllinge Præstegård;1983;1819;Classicism;Stuehus (1819). Fredet 1983.;Bystævnevej 4, Faaborg-Midtfyn, Danmark;55,2866540;10,5363610
Faaborg-Midtfyn;Faurshøjvej 43;Bremerstente;1987;1800;Classicism;Stuehuset med tilbygning (beg. af 1800-tallet). Fredet 1987.;Faurshøjvej 43, Faaborg-Midtfyn, Danmark;55,1085850;10,3818650
Faaborg-Midtfyn;Faurshøjvej 55;Ditlevslyst;1987;1809;Classicism;Det trelængede anlæg (1809-10, stuehusets facadekvist mellem 1858 og 1875 og vindfang mod vest 1921, vestlængen udvidet 1848, hestegang mod vest 1858 og 1875, østlængen udvidet mod syd mellem 1858 og 1875), vaskehuset (før 1875), gårdspladsen samt de to buehække ved indkørslen to gården. Fredet 1987.*;Faurshøjvej 55, Faaborg-Midtfyn, Danmark;55,1128140;10,3742330
Faaborg-Midtfyn;Flægmosevej 22;Gammelstrand;1990;1800;Classicism;Det store firelængede gårdanlæg (ca. 1800, det delvis fritliggende stuehus ombygget 1870) med oprindelig påbygget korsarm, det fritliggende tifags bindingsværkshus mod øst samt den brolagte gårdsplads. Fredet 1990.;Flægmosevej 22, Faaborg-Midtfyn, Danmark;55,1305060;10,2229070
Faaborg-Midtfyn;Gammelskovvej 31;Vilhelmsgave;2002;1779;Classicism;Den firelængede gård bestående af det fritliggende stuehus og de three avlslænger med tilbygninger (1779 og senere), den pigstensbelagte gårdsplads og det fritliggende udhus (1792). Fredet 2002.;Gammelskovvej 31, Faaborg-Midtfyn, Danmark;55,1464300;10,2483780
Faaborg-Midtfyn;Grubbemøllegyden 2;Grubbe Mølle;1959;1832;Classicism;Vindmøllen (1832, flyttet hertil fra Sjælland 1892). Fredet 1959.*;Grubbemøllegyden 2, Faaborg-Midtfyn, Danmark;55,1202950;10,2116500
Faaborg-Midtfyn;Grønnegade 72;Grønnegade 72;1945;1800;Classicism;Forhuset (ca. 1800). Fredet 1945.;Grønnegade 72, Faaborg-Midtfyn, Danmark;55,0949070;10,2466340
Faaborg-Midtfyn;Havnegade 2;Havnegade 2;1990;1837;Classicism;Den toetages grundmurede bygning opført som toldpakhus (1837-38 af Jørgen Hansen Koch). Fredet 1990.;Havnegade 2, Faaborg-Midtfyn, Danmark;55,0946000;10,2410400
